timestamp,experiment,id,ip,gender,age,education,graphicity,q10,q11,strategy,notice,comments
2019-02-28T12:16:01-06:00,pilot,5c7744d89782c300191ccc4f,23.226.132.237,Female,21,College degree,11,3,4,I carefully examined the numbers on the sides of the graph and compared them.,Some of the graphs had the same data but spread out differently to appear as if one was better or larger than the other_ which is a common trick used in marketing. ,Not at this moment. It was straightforward. 
2019-02-28T12:18:00-06:00,pilot,5be74bbb7514d000010869ae,192.167.204.119,Female,29,Graduate degree,8,3,3,Paying attention towards the graphs.,Nope,
2019-02-28T12:19:07-06:00,pilot,5c7652b78c755b0019a1d4b2,89.147.75.85,Male,25,Some college,12,3,2,Tried to check the difference of the values and was trying to analyze the increase/descrease. ,Nope. ,It was fun_ thanks for the participate! 
2019-02-28T12:19:55-06:00,pilot,5c2646452c45d4000148e1c7,82.35.87.145,Male,54,College degree,10,3,2,Common sense,Baseline was a varying percentage,
2019-02-28T12:20:06-06:00,pilot,576d975d8445140001a36bf8,86.9.229.166,Female,33,Some college,9,1,2,maths,not all started at 0%,
2019-02-28T12:20:32-06:00,pilot,576d975d8445140001a36bf8,86.9.229.166,Female,33,Some college,9,1,2,maths,not all started at 0%,
2019-02-28T12:21:39-06:00,pilot,5aed18cf026e1300018199b3,136.55.9.145,Female,29,College degree,12,3,4,Deductive reasoning.,Some were missing percentages_ some were intentionally resized or recolored to seem different from the one beside it.,No.
2019-02-28T12:22:51-06:00,pilot,5c704a5821beb1000181b684,76.210.115.57,Male,26,College degree,11,3,2,General visual comparison between charts after a baseline subjective opinion of rate of change,Frequent change of chart type_ number of intervals_ sometimes rate of change was different if multiple plot points were present,N/A
2019-02-28T12:25:38-06:00,pilot,5c704329d25ffb00016fa39f,82.59.26.164,Female,20,High school degree,11,3,2,Careful observation and my own knowledge ,No,
2019-02-28T12:25:55-06:00,pilot,5c781ecfa7e5ae001665b6c9,173.216.219.138,Female,22,High school degree,8,1,2,I used graphs and charts and i looked at them and studied them. Then answered.,no.,
2019-02-28T12:27:41-06:00,pilot,5c780de39e03960016742e11,62.195.247.53,Male,21,College degree,11,3,2,I made a different scale for each chart_ so that my answers would be more reliable. For example_ i looked for the middle in the y-scale_ so that i could have a better picture of the actual difference.
For instance the charts with value from 25%-100% had as the middle 62_5.  ,I noticed different numbers on the y-scale. This confused me a little bit_ because i had to work with different types of scales_ which made a lotof charts look like each other_ even though they were different.,none
2019-02-28T12:27:44-06:00,pilot,5c78192109ab370001c6c6b2,24.124.44.213,Male,23,Some college,11,1,2,Answered the question as I would if I were trying to describe the graph changes to another person.,At lower values the difference between bar graphs seems small_ even when it likely is over 100% different.,
2019-02-28T12:28:40-06:00,pilot,5c704ef2c2129500016b0767,85.253.137.54,Male,40,Graduate degree,12,3,2,I looked at both axis and tried to imagine the full scale (0 to 100),yes_ the scale was different,
2019-02-28T12:28:50-06:00,pilot,5ab476361204f90001c96d87,207.134.104.178,Male,20,High school degree,6,2,4,quick visual analysis and basic math,Didn't notice anything odd.,Well done survey
2019-02-28T12:30:04-06:00,pilot,5b6e1a5e12da5f0001ceb87b,24.166.124.21,Female,22,Some college,11,3,3,none,no,it's spelled 'decreasing'_ not 'descreasing'
2019-02-28T12:32:53-06:00,pilot,5c6733a1d9c5be0001743331,109.150.6.22,Female,32,College degree,9,2,4,I started off looking just at the charts but then focused on the numbers.,Some of the numbers were in what I consider to be the wrong order_e.g. 3_ 2_ 1,
2019-02-28T12:33:44-06:00,pilot,5a9743c835237b00011276d7,209.97.67.22,Female,22,Some high school,12,3,2,Just logic,No,N/A
2019-02-28T12:34:12-06:00,pilot,5c041a0ce0483e0001f21370,191.116.169.4,Male,20,Some high school,5,3,2,comparable the graphics,no i don't,that the survey is not so long so that we can respond with greater ease and greater concentration.
2019-02-28T12:34:48-06:00,pilot,5c3a664348ad2900017f60c7,194.29.183.88,Female,25,College degree,11,3,2,Focus and of course reading with understatement,No I didn't,Thank you for the survey. 
2019-02-28T12:35:20-06:00,pilot,5c6ed887671d73000188b345,188.81.254.111,Male,23,College degree,12,3,4,Analisis of the y axel on the graphics ,yes the y axel many times had digerent scales and in one case the y axel didn't have any scale,
2019-02-28T12:35:24-06:00,pilot,5beaaba34cd94d000187c5b6,152.66.239.242,Female,23,Some college,12,3,2,I read the instructions.,No.,No.
2019-02-28T12:35:52-06:00,pilot,5b03104b4f435000018c7eb6,187.177.122.146,Female,31,College degree,9,3,2,addition and substratcion,no,no
2019-02-28T12:35:53-06:00,,187.177.122.146,187.177.122.146,,,,,,,,,
2019-02-28T12:36:01-06:00,pilot,5c78079b896a0b00151c18ca,91.176.6.56,Female,32,Graduate degree,9,3,2,I used only my eyes to view the charts and decide on the level of difference. For the second part of the survey_ I used my deduction/calculation skills_ no calculator or other was used. ,I think the same charts may have come along several times. ,Maybe a slight warning before the survey that some maths may be involved :-) 
2019-02-28T12:36:06-06:00,,187.177.122.146,187.177.122.146,,,,,,,,,
2019-02-28T12:36:53-06:00,pilot,5c4c296e9e6c990001f98c05,90.190.172.174,Male,28,College degree,12,3,2,Studied the charts and anwsered questions,No,
2019-02-28T12:37:49-06:00,pilot,5910f51967706b0001db3af7,72.194.135.194,Female,25,College degree,11,1,2,Just tried to pay attention and think.,No,
2019-02-28T12:38:30-06:00,pilot,5c617b872026f300018082d1,109.158.51.124,Female,31,High school degree,10,3,2,I check what the values on each scale were and then visually looked at the values indicated by the bars and lines in the charts.,No.,
2019-02-28T12:38:59-06:00,pilot,5c78149998566f00168eec2d,174.217.16.206,Male,25,College degree,11,3,2,Lots of reading the axis_ looking at slope_ and paying attention to units.,A few of them had 25%-100% on the y-axis.,N/A
2019-02-28T12:39:58-06:00,,54.209.60.63,54.209.60.63,,,,,,,,,
